fairness,alpha,method,lambda,n,reg_norm_m,reg_norm_s,fair_m,fair_s,mse_m
dp,0.5,cagrad,0.0,5,0.1252,0.0229,1.2299,1.1378,471.4149
dp,0.5,dfl,0.0,5,0.0894,0.0008,93.3111,39.4955,1214450.5703
dp,0.5,fdfl,0.0,5,0.0894,0.0008,93.3111,39.4955,1214450.5703
dp,0.5,fdfl,0.5,5,0.09,0.0004,87.4205,42.1905,1057273.4833
dp,0.5,fdfl,1.0,5,0.09,0.0002,79.071,38.5171,898883.1485
dp,0.5,fdfl,2.0,5,0.0906,0.0009,66.0707,33.0717,672923.0191
dp,0.5,fdfl-0.1,0.0,5,0.0888,0.0006,1.5868,0.3236,129.0727
dp,0.5,fdfl-0.1,0.5,5,0.0887,0.0007,1.5792,0.3211,129.0485
dp,0.5,fdfl-0.1,1.0,5,0.0888,0.0006,1.5712,0.3221,129.0877
dp,0.5,fdfl-0.1,2.0,5,0.0888,0.0007,1.5597,0.3239,129.1402
dp,0.5,fdfl-0.5,0.0,5,0.0898,0.0006,1.2854,0.1386,125.381
dp,0.5,fdfl-0.5,0.5,5,0.0898,0.0006,1.2805,0.1386,125.409
dp,0.5,fdfl-0.5,1.0,5,0.0898,0.0006,1.2772,0.1385,125.3985
dp,0.5,fdfl-0.5,2.0,5,0.0898,0.0006,1.2677,0.1382,125.4539
dp,0.5,fdfl-scal,0.0,5,0.09,0.0006,2.2636,0.1824,137.9552
dp,0.5,fdfl-scal,0.5,5,0.09,0.0006,2.2576,0.1824,137.8823
dp,0.5,fdfl-scal,1.0,5,0.09,0.0006,2.2512,0.182,137.8072
dp,0.5,fdfl-scal,2.0,5,0.0899,0.0006,2.2388,0.1824,137.6649
dp,0.5,fdfl-scal-mu2,0.0,5,0.0977,0.0048,1.0867,0.8589,159.9328
dp,0.5,fdfl-scal-mu2,0.5,5,0.0944,0.0034,1.3493,0.7405,143.3945
dp,0.5,fdfl-scal-mu2,1.0,5,0.0935,0.0069,1.9323,0.7857,149.0904
dp,0.5,fdfl-scal-mu2,2.0,5,0.0924,0.0028,1.6701,0.7225,141.4566
dp,0.5,fplg,0.0,5,0.0886,0.0008,1.6685,0.192,127.2856
dp,0.5,fplg,0.5,5,0.0875,0.0008,1.6374,0.1547,125.5127
dp,0.5,fplg,1.0,5,0.088,0.0009,1.6277,0.1642,124.5461
dp,0.5,fplg,2.0,5,0.0881,0.0007,1.6082,0.1921,123.1054
dp,0.5,fpto,0.0,5,0.1007,0.0014,1.7503,0.0891,140.1245
dp,0.5,fpto,0.5,5,0.1008,0.0014,1.7177,0.089,140.1448
dp,0.5,fpto,1.0,5,0.1009,0.0014,1.6852,0.0888,140.1793
dp,0.5,fpto,2.0,5,0.1011,0.0014,1.6206,0.0884,140.2856
dp,0.5,mgda,0.0,5,0.1182,0.0351,1.1888,0.8666,220.6139
dp,0.5,nashmtl,0.0,5,0.0896,0.001,2.3192,0.5223,158.6624
dp,0.5,pcgrad,0.0,5,0.1456,0.0062,0.0529,0.0912,276.5322
dp,0.5,pto,0.0,5,0.1007,0.0014,1.7503,0.0891,140.1245
dp,0.5,saa,0.0,5,0.1496,0.0001,0.001,0.0,249.1728
dp,0.5,wdro,0.0,5,0.1011,0.0014,1.7565,0.0855,142.101
dp,2.0,cagrad,0.0,5,0.1271,0.0019,1.893,0.1358,129.2908
dp,2.0,dfl,0.0,5,0.129,0.0027,0.5222,0.1096,293.8929
dp,2.0,fdfl,0.0,5,0.129,0.0027,0.5222,0.1096,293.8929
dp,2.0,fdfl,0.5,5,0.1292,0.0027,0.5251,0.1059,293.3743
dp,2.0,fdfl,1.0,5,0.1289,0.0027,0.5171,0.1056,294.2853
dp,2.0,fdfl,2.0,5,0.1294,0.0026,0.4866,0.1166,299.1121
dp,2.0,fdfl-0.1,0.0,5,0.1282,0.0017,1.9752,0.1227,129.691
dp,2.0,fdfl-0.1,0.5,5,0.1282,0.0017,1.9404,0.1225,129.6361
dp,2.0,fdfl-0.1,1.0,5,0.1283,0.0017,1.9068,0.1219,129.613
dp,2.0,fdfl-0.1,2.0,5,0.1283,0.0017,1.8412,0.1207,129.6374
dp,2.0,fdfl-0.5,0.0,5,0.1294,0.0019,1.7963,0.1335,121.3134
dp,2.0,fdfl-0.5,0.5,5,0.1295,0.0019,1.7769,0.1337,121.2745
dp,2.0,fdfl-0.5,1.0,5,0.1295,0.0019,1.7572,0.1334,121.2384
dp,2.0,fdfl-0.5,2.0,5,0.1296,0.002,1.7176,0.1334,121.1795
dp,2.0,fdfl-scal,0.0,5,0.1307,0.0019,1.7322,0.1373,120.2023
dp,2.0,fdfl-scal,0.5,5,0.1307,0.0019,1.7159,0.137,120.179
dp,2.0,fdfl-scal,1.0,5,0.1307,0.0019,1.7001,0.137,120.1629
dp,2.0,fdfl-scal,2.0,5,0.1308,0.0019,1.6685,0.1371,120.1358
dp,2.0,fdfl-scal-mu2,0.0,5,0.1321,0.0019,1.6863,0.1403,119.5759
dp,2.0,fdfl-scal-mu2,0.5,5,0.1321,0.0019,1.6724,0.1405,119.5659
dp,2.0,fdfl-scal-mu2,1.0,5,0.1322,0.0019,1.6579,0.1404,119.5554
dp,2.0,fdfl-scal-mu2,2.0,5,0.1322,0.0019,1.6295,0.14,119.543
dp,2.0,fplg,0.0,5,0.1281,0.0018,1.9595,0.1297,125.4824
dp,2.0,fplg,0.5,5,0.1275,0.002,1.9006,0.1282,123.6281
dp,2.0,fplg,1.0,5,0.1274,0.002,1.8646,0.1356,123.3315
dp,2.0,fplg,2.0,5,0.1276,0.002,1.8038,0.1347,123.1588
dp,2.0,fpto,0.0,5,0.1534,0.0033,1.7503,0.0891,140.1245
dp,2.0,fpto,0.5,5,0.1537,0.0033,1.7177,0.089,140.1448
dp,2.0,fpto,1.0,5,0.154,0.0034,1.6852,0.0888,140.1793
dp,2.0,fpto,2.0,5,0.1546,0.0034,1.6206,0.0884,140.2856
dp,2.0,mgda,0.0,5,0.1526,0.0016,0.309,0.0491,351.6272
dp,2.0,nashmtl,0.0,5,0.1279,0.0019,1.9504,0.1323,125.8647
dp,2.0,pcgrad,0.0,5,0.1443,0.0094,0.4627,0.2212,132.3415
dp,2.0,pto,0.0,5,0.1534,0.0033,1.7503,0.0891,140.1245
dp,2.0,saa,0.0,5,0.2795,0.0024,0.001,0.0,249.1728
dp,2.0,wdro,0.0,5,0.1542,0.0033,1.7565,0.0855,142.101
mad,0.5,cagrad,0.0,5,0.135,0.0211,56.4806,36.5388,267.1274
